day,month,year,prayer_id,"time","country_id","city_id",source_id,"updated"
1,2,2016,2,"07:17:00","SG","Singapore",1,"2015-12-31 04:00:36"
1,2,2016,3,"13:20:00","SG","Singapore",1,"2015-12-31 04:00:36"
1,2,2016,4,"16:41:00","SG","Singapore",1,"2015-12-31 04:00:36"
1,2,2016,5,"19:21:00","SG","Singapore",1,"2015-12-31 04:00:36"
1,2,2016,6,"20:33:00","SG","Singapore",1,"2015-12-31 04:00:36"
1,3,2011,1,"05:58:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2011,2,"07:15:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2011,3,"13:19:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2011,4,"16:32:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2011,5,"19:20:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2011,6,"20:30:00","SG","Singapore",1,"2013-01-15 07:38:33"
1,3,2012,1,"05:58:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2012,2,"07:15:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2012,3,"13:19:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2012,4,"16:31:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2012,5,"19:20:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2012,6,"20:29:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,3,2013,1,"05:58:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2013,2,"07:15:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2013,3,"13:19:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2013,4,"16:31:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2013,5,"19:20:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2013,6,"20:30:00","SG","Singapore",1,"2013-04-04 01:09:52"
1,3,2014,1,"05:57:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2014,2,"07:15:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2014,3,"13:19:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2014,4,"16:31:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2014,5,"19:20:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2014,6,"20:29:00","SG","Singapore",1,"2013-12-16 15:28:53"
1,3,2015,1,"05:57:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2015,2,"07:15:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2015,3,"13:19:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2015,4,"16:31:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2015,5,"19:20:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2015,6,"20:29:00","SG","Singapore",1,"2014-12-28 05:50:36"
1,3,2016,1,"05:57:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,3,2016,2,"07:15:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,3,2016,3,"13:18:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,3,2016,4,"16:30:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,3,2016,5,"19:20:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,3,2016,6,"20:29:00","SG","Singapore",1,"2015-12-31 04:00:50"
1,4,2011,1,"05:49:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2011,2,"07:06:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2011,3,"13:10:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2011,4,"16:15:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2011,5,"19:13:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2011,6,"20:22:00","SG","Singapore",1,"2013-01-15 07:38:34"
1,4,2012,1,"05:48:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2012,2,"07:05:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2012,3,"13:10:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2012,4,"16:16:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2012,5,"19:13:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2012,6,"20:22:00","SG","Singapore",1,"2013-01-15 07:35:34"
1,4,2013,1,"05:48:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2013,2,"07:05:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2013,3,"13:10:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2013,4,"16:15:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2013,5,"19:13:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2013,6,"20:22:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,4,2014,1,"05:48:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2014,2,"07:05:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2014,3,"13:10:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2014,4,"16:16:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2014,5,"19:13:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2014,6,"20:22:00","SG","Singapore",1,"2013-12-16 15:28:54"
1,4,2015,1,"05:48:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2015,2,"07:05:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2015,3,"13:10:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2015,4,"16:16:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2015,5,"19:13:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2015,6,"20:22:00","SG","Singapore",1,"2014-12-28 05:50:38"
1,4,2016,1,"05:48:00","SG","Singapore",1,"2015-12-31 04:01:05"
1,4,2016,2,"07:05:00","SG","Singapore",1,"2015-12-31 04:01:05"
1,4,2016,3,"13:10:00","SG","Singapore",1,"2015-12-31 04:01:05"
1,4,2016,4,"16:16:00","SG","Singapore",1,"2015-12-31 04:01:05"
1,4,2016,5,"19:13:00","SG","Singapore",1,"2015-12-31 04:01:06"
1,4,2016,6,"20:22:00","SG","Singapore",1,"2015-12-31 04:01:06"
1,5,2011,1,"05:38:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2011,2,"06:58:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2011,3,"13:03:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2011,4,"16:22:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2011,5,"19:07:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2011,6,"20:18:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,5,2012,1,"05:38:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2012,2,"06:57:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2012,3,"13:03:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2012,4,"16:23:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2012,5,"19:07:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2012,6,"20:18:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,5,2013,1,"05:38:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2013,2,"06:58:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2013,3,"13:03:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2013,4,"16:22:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2013,5,"19:07:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2013,6,"20:18:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,5,2014,1,"05:38:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2014,2,"06:57:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2014,3,"13:03:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2014,4,"16:23:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2014,5,"19:07:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2014,6,"20:19:00","SG","Singapore",1,"2013-12-16 15:28:55"
1,5,2015,1,"05:38:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2015,2,"06:57:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2015,3,"13:03:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2015,4,"16:23:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2015,5,"19:07:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2015,6,"20:19:00","SG","Singapore",1,"2014-12-28 05:50:40"
1,5,2016,1,"05:38:00","SG","Singapore",1,"2015-12-31 04:01:20"
1,5,2016,2,"06:57:00","SG","Singapore",1,"2015-12-31 04:01:20"
1,5,2016,3,"13:03:00","SG","Singapore",1,"2015-12-31 04:01:20"
1,5,2016,4,"16:23:00","SG","Singapore",1,"2015-12-31 04:01:20"
1,5,2016,5,"19:07:00","SG","Singapore",1,"2015-12-31 04:01:20"
1,5,2016,6,"20:19:00","SG","Singapore",1,"2015-12-31 04:01:21"
1,6,2011,1,"05:34:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2011,2,"06:57:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2011,3,"13:04:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2011,4,"16:28:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2011,5,"19:09:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2011,6,"20:23:00","SG","Singapore",1,"2013-01-15 07:38:35"
1,6,2012,1,"05:34:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2012,2,"06:57:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2012,3,"13:04:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2012,4,"16:29:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2012,5,"19:09:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2012,6,"20:23:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,6,2013,1,"05:34:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2013,2,"06:57:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2013,3,"13:04:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2013,4,"16:28:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2013,5,"19:09:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2013,6,"20:23:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,6,2014,1,"05:34:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2014,2,"06:58:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2014,3,"13:04:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2014,4,"16:29:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2014,5,"19:09:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2014,6,"20:23:00","SG","Singapore",1,"2013-12-16 15:28:56"
1,6,2015,1,"05:34:00","SG","Singapore",1,"2014-12-28 05:50:42"
1,6,2015,2,"06:57:00","SG","Singapore",1,"2014-12-28 05:50:42"
1,6,2015,3,"13:04:00","SG","Singapore",1,"2014-12-28 05:50:42"
1,6,2015,4,"16:29:00","SG","Singapore",1,"2014-12-28 05:50:42"
